12	377	-18
14	377	-17
18	375	-13
24	372	-5
31	370	5
40	367	19
47	364	32
55	362	47
61	361	58
69	360	75
74	359	84
81	357	95
87	356	101
94	354	105
102	352	108
111	351	109
121	349	110
137	347	111
147	345	111
158	342	111
172	338	111
184	334	111
198	330	111
212	325	111
226	319	111
238	314	111
250	306	110
258	298	110
265	286	110
269	277	110
273	264	110
277	248	110
279	238	110
282	222	110
284	211	109
287	197	109
289	189	109
290	182	109
295	140	106
297	118	105
299	102	103
301	83	101
304	66	97
306	54	91
309	43	82
311	33	68
313	27	58
315	19	40
316	16	29
316	12	16
317	10	3
317	9	-1
318	8	-5
318	8	-7
318	8	-8
318	8	-9
318	7	-9
318	8	-9
