12	370	-19
12	369	-19
12	369	-20
12	369	-20
12	368	-21
12	367	-23
12	366	-24
12	367	-23
12	367	-22
12	368	-21
12	369	-20
12	370	-20
12	370	-20
11	370	-20
11	370	-20
11	369	-19
14	367	-15
17	363	-9
22	358	-1
27	353	6
37	343	21
44	336	31
53	326	43
60	318	53
70	307	67
70	307	67
79	296	78
89	285	89
95	279	95
103	270	103
116	257	114
177	214	134
186	197	134
194	173	133
202	128	132
215	74	129
225	79	124
232	97	122
237	112	121
243	115	120
250	112	118
255	107	117
261	99	114
266	90	111
271	82	108
276	73	104
283	61	99
288	53	94
294	46	88
301	36	78
305	32	70
311	24	55
313	20	43
316	15	30
318	11	19
321	6	7
336	0	0
323	4	1
324	2	-3
325	1	-6
326	0	-7
326	0	-8
326	0	-8
326	0	-8
326	1	-8
326	1	-8
326	1	-8
326	1	-8
326	0	-8
326	0	-8
325	0	-8
325	0	-8
325	0	-8
325	0	-8
326	0	-8
326	0	-8
325	0	-8
326	0	-8
326	0	-8
326	0	-8
326	0	-8
326	0	-8
326	0	-8
326	0	-8
326	0	-8
326	0	-8
326	0	-8
326	0	-8
326	0	-8
326	0	-8
325	0	-8
325	0	-8
325	0	-8
325	0	-8
326	0	-8
326	0	-8
326	0	-8
326	0	-8
326	0	-8
326	0	-8
326	0	-8
326	0	-8
326	0	-8
326	0	-8
326	0	-8
326	0	-8
326	0	-8
326	0	-8
