20	377	-17
22	376	-15
24	374	-11
27	372	-7
30	369	1
35	364	16
38	362	26
41	358	40
43	355	52
44	352	59
44	347	68
42	340	77
40	334	81
38	326	85
36	316	88
34	302	91
34	291	92
33	277	94
33	266	95
32	249	97
31	233	99
31	220	100
30	205	102
30	193	103
31	179	104
32	167	105
34	154	106
37	141	108
40	128	108
44	116	109
49	105	109
54	93	110
62	82	110
72	69	110
81	61	111
94	52	111
109	43	111
122	36	110
133	31	110
152	25	109
168	21	109
185	19	109
198	17	110
214	15	110
229	13	109
247	10	107
262	8	104
274	6	100
290	6	94
308	6	85
322	6	75
332	7	61
335	8	46
335	9	31
334	10	21
338	11	9
344	12	2
351	12	-2
359	12	-5
363	12	-6
363	12	-7
358	12	-7
351	12	-8
348	12	-9
