15	195	-15
16	207	-1
18	247	22
21	328	71
21	326	81
21	320	87
20	305	94
20	297	96
21	284	99
21	273	101
22	252	103
22	239	104
22	227	105
22	214	106
21	188	107
20	182	108
19	163	109
18	149	109
18	132	109
20	115	110
23	99	110
29	86	110
36	76	110
47	65	110
56	57	110
67	50	110
81	44	109
94	39	109
106	34	108
117	31	107
136	26	106
155	23	104
171	21	104
184	19	104
202	18	103
223	16	101
237	15	99
254	13	95
269	12	88
285	11	75
295	10	62
303	10	46
311	9	28
315	9	13
318	8	4
320	7	-4
321	7	-6
321	7	-7
320	7	-8
318	7	-9
321	7	-9
