12	371	-7
12	371	-7
12	371	-7
12	371	-8
13	370	-8
14	369	-8
15	367	-6
16	365	-4
19	361	4
21	358	11
25	352	26
28	347	36
31	342	47
34	336	56
38	328	66
39	323	70
42	316	75
45	307	79
48	301	81
51	295	83
55	285	86
59	278	87
63	270	89
67	261	90
70	253	90
75	242	91
78	234	91
81	225	91
84	217	92
88	208	93
93	197	94
97	190	95
103	180	97
108	171	98
112	163	98
117	154	98
125	142	97
130	135	97
138	126	97
148	116	97
158	107	97
166	100	97
179	89	96
187	83	96
199	74	96
214	63	95
225	57	94
237	50	92
249	41	90
264	30	83
278	22	75
294	16	63
312	12	50
326	11	35
332	10	20
332	9	10
329	8	4
328	6	-3
330	6	-5
332	5	-7
