-3.298	0.624	2.56
-3.298	0.624	2.56
-3.298	0.624	2.56
-3.298	0.624	2.56
2.353	0.791	-1.385
2.343	0.808	-1.401
2.341	0.818	-1.41
2.341	0.818	-1.41
2.341	0.818	-1.41
2.341	0.818	-1.41
2.341	0.818	-1.41
2.341	0.818	-1.41
2.342	0.802	-1.426
2.35	0.717	-1.467
3.731	3.731	0
0	0	0
3.697	-0.056	0
-0.06	3.759	0
0	0	2.53
0	3.802	2.53
2.357	0.694	-1.484
2.358	0.706	-1.483
2.36	0.734	-1.466
2.363	0.763	-1.439
2.367	0.772	-1.42
2.371	0.781	-1.407
2.368	0.789	-1.403
2.361	0.805	-1.403
2.351	0.818	-1.401
2.339	0.826	-1.399
2.329	0.83	-1.397
2.323	0.832	-1.398
2.326	0.832	-1.406
2.34	0.832	-1.419
2.356	0.83	-1.427
2.373	0.824	-1.429
2.384	0.821	-1.423
2.394	0.818	-1.415
2.401	0.821	-1.415
2.403	0.841	-1.433
2.406	0.877	-1.461
2.425	0.926	-1.481
2.459	0.97	-1.474
2.538	0.997	-1.435
2.647	1.012	-1.375
2.758	1.029	-1.296
2.822	1.059	-1.239
2.823	1.108	-1.179
2.778	1.167	-1.124
2.726	1.301	-1.112
2.664	1.398	-1.068
2.639	1.238	-0.998
2.674	0.849	-0.92
2.773	0.261	-0.826
2.91	-0.072	-0.833
3.041	0.045	-0.886
3.123	0.276	-0.93
3.165	0.562	-0.959
3.162	0.755	-0.956
3.137	0.915	-0.927
3.114	0.946	-0.917
3.126	0.957	-0.928
3.167	0.959	-0.95
3.209	0.933	-0.99
3.248	0.921	-1.016
3.249	0.917	-1.026
3.229	0.923	-1.021
3.203	0.934	-1.009
3.169	0.937	-0.999
3.148	0.94	-0.993
3.138	0.964	-0.972
3.129	0.972	-0.96
3.122	0.959	-0.961
3.093	0.917	-0.975
2.968	0.71	-1.073
2.888	0.596	-1.127
2.835	0.497	-1.158
2.806	0.424	-1.169
2.798	0.37	-1.159
0	0	0
3.697	-0.056	0
-0.06	3.759	0
0	0	2.53
0	3.802	2.53
3.731	3.731	0
2.836	0.397	-1.107
